[ 2016-09-25T10:06:20+08:00 ] /wd/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T10:06:20+08:00 ] /wd/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:20+08:00 ] /wd/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '31' )  [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '25' )  [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_template ] --START--
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Run LocationTemplate Behavior [ RunTime:0.015600s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.015600s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-25T10:06:21+08:00 ] /wd/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 15 and defined TagLib.class.php 第 111 行.
[ 2016-09-25T10:06:21+08:00 ] /wd/ | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-09-25T10:06:21+08:00 ] /wd/ | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-09-25T10:06:21+08:00 ] /wd/ | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-09-25T10:06:21+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Run ParseTemplate Behavior [ RunTime:0.015600s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015600s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_filter ] --START--
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_end ] --START--
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2016-09-25T10:06:21+08:00 ] /wd/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T10:06:21+08:00 ] /wd/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:06:36+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2016-09-25T10:06:36+08:00 ] /wd/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:36+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:06:36+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T10:06:36+08:00 ] /wd/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:06:36+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:06:36+08:00 ] /wd/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
